1,1,1,1,0,1,1,0,1,1,1,0,1,1,0,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,0,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1
0,1,1,1,1,1,1,1,1,1,2,0,1,2,0,1,2,1,2,1,2,1,2,2,2,0,2,2,2,1,2,3,3,1,2,2,1,3,2,4,3,3,3,1,3,3,4,1,4,4,4,5,5,6,7
0,0,1,0,0,1,0,0,1,1,1,0,1,2,0,1,1,0,2,1,1,0,2,2,1,0,2,1,2,0,2,2,3,0,2,2,0,3,2,3,3,3,2,0,3,3,4,0,4,3,4,4,5,5,6
0,0,0,1,0,1,1,1,1,1,2,0,1,1,1,1,2,1,2,1,3,2,2,2,2,0,2,3,3,1,3,5,3,1,4,3,2,4,4,7,4,5,6,2,6,6,6,3,8,9,8,12,11,16,21
0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,2,1,0,1,2,1,1,1,0,1,1,1,2,1,3,3,2,1,1,3,3,1,6,3,3,3,3,3,3,6,4,6,6,6,10,10,15,21
0,0,0,0,0,1,0,0,1,1,1,0,1,2,0,1,2,1,3,1,2,1,3,3,2,0,3,2,3,1,4,5,6,1,4,4,2,7,4,9,7,7,6,2,8,8,12,3,13,11,13,17,20,25,35
0,0,0,0,0,0,1,0,1,0,2,0,1,0,0,2,1,0,1,2,3,1,3,1,3,0,3,4,4,1,3,6,1,2,5,3,1,4,5,8,4,7,8,3,8,8,5,4,11,13,11,18,15,25,35
0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,1,1,0,2,3,1,1,1,0,1,2,3,2,2,6,2,2,4,2,4,4,4,11,4,7,8,5,9,9,8,9,15,17,15,28,25,45,70
0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,1,0,2,1,2,1,3,2,2,0,3,3,4,1,4,7,3,2,6,4,2,7,6,12,7,10,10,4,13,13,12,7,21,21,21,34,34,54,84
0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,1,0,1,1,1,0,1,2,1,0,2,1,2,0,2,2,3,0,2,3,0,3,3,3,4,4,3,0,4,5,6,0,6,5,7,7,10,10,14
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,2,1,3,0,2,0,3,3,4,1,3,7,0,3,6,3,1,5,6,12,5,11,11,6,13,13,7,9,22,24,22,40,35,65,105
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,1,0,1,1,1,0,2,2,0,1,2,1,3,3,2,0,3,4,4,0,4,4,6,6,9,9,14
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,1,1,0,1,2,2,0,3,2,3,1,3,4,3,1,4,4,1,5,5,6,7,8,7,2,9,11,12,3,15,15,18,24,30,39,63
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,1,0,1,0,1,1,3,0,1,1,0,3,1,3,3,3,1,0,3,3,6,0,6,3,6,6,10,10,15
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,2,0,1,3,0,0,3,1,1,1,4,5,1,5,6,2,7,8,2,5,11,14,12,23,20,40,70
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,1,0,2,2,3,0,2,4,0,1,5,3,0,3,6,6,4,9,9,3,11,13,6,5,18,21,21,35,35,60,105
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,1,1,0,1,1,1,2,2,4,3,2,2,2,4,5,2,9,5,5,6,5,7,7,12,9,15,15,15,28,30,50,84
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,1,0,0,3,1,0,4,1,1,1,3,1,1,4,6,4,4,4,10,10,20,35
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,1,0,2,2,3,0,2,2,1,5,2,6,5,5,3,1,7,7,12,3,15,10,15,21,30,40,70
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,0,1,1,0,1,2,2,0,1,2,1,3,4,3,1,4,5,4,1,6,7,9,12,15,20,35
