1,1,1,1,0,1,0,1,1,0,1,1,1,1,0,0,1,1,1,0,1,1,1,1,1,0,1,0,1,1,1,1,0,1,0,1,1,0,1,0,0,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1
0,1,1,1,1,1,1,1,1,0,1,1,1,2,0,1,1,2,2,1,2,2,2,1,1,1,2,1,1,2,2,1,1,2,0,2,3,1,2,0,1,2,2,3,2,3,3,4,2,3,1,3,3,1,4,4,4,5,6,7
0,0,1,1,0,1,1,1,1,0,1,1,2,2,0,1,2,3,3,1,3,3,3,2,2,1,4,1,3,3,4,3,2,4,0,4,6,1,5,0,2,5,5,7,5,7,7,10,6,8,2,9,9,3,12,12,12,16,21,27
0,0,0,1,0,0,0,1,0,0,1,1,1,1,0,0,1,2,1,0,2,2,2,1,2,1,2,1,2,1,2,2,1,3,0,3,4,1,3,0,1,4,3,5,4,4,5,7,4,6,2,6,6,2,9,9,8,12,16,21
0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,1,0,1,1,2,1,1,1,0,0,2,1,1,0,1,1,0,2,1,0,1,3,2,1,1,2,1,1,3,1,3,3,6,1,3,3,3,3,4,6,6,6,10,15,21
0,0,0,0,0,1,0,1,1,0,1,1,1,2,0,1,2,2,3,1,3,3,3,2,2,1,4,1,3,4,4,3,2,5,0,5,6,2,6,0,3,6,6,9,6,10,10,14,7,11,4,13,13,6,19,19,20,28,40,56
0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,1,2,2,2,2,2,3,1,1,2,4,2,2,2,4,2,4,4,0,4,8,3,6,1,5,6,6,11,6,11,11,20,8,14,7,17,17,12,28,28,28,45,70,105
0,0,0,0,0,0,0,1,0,0,1,1,1,1,0,1,1,2,2,1,3,3,3,1,2,2,4,2,3,2,4,3,3,6,0,6,8,3,7,0,5,8,7,13,8,12,14,22,10,17,8,20,20,12,33,33,32,52,80,120
0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,1,1,2,0,1,2,2,2,2,0,2,1,2,3,3,3,1,3,0,4,3,1,4,0,1,4,5,6,5,7,7,8,6,8,2,9,10,3,12,13,14,18,25,35
0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,1,1,0,0,1,0,0,1,1,2,2,1,3,2,2,3,1,3,3,1,4,5,4,7,10,15
0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,1,2,0,2,3,3,2,3,1,3,2,4,3,4,5,3,6,0,8,6,3,9,0,4,10,10,16,12,16,19,25,15,24,10,28,30,15,45,48,48,76,120,189
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,2,1,1,2,0,1,1,2,1,1,3,1,3,1,4,1,1,4,0,1,5,5,8,7,7,11,11,8,13,5,15,16,7,23,26,25,41,65,105
