0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,1,1,0,1,1,0,1,0,1,1,2,1,1,2,0,1,0,2,4,1,3,4,3,1,4,0,4,2,6,6,6,0,6,4,10,6,10,8,17,17,30
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,1,1,1,0,1,0,2,1,2,0,0,2,1,2,2,0,0,4,0,3,4,4,2,5,5,2,6,0,7,3,8,3,9,0,12,4,14,9,16,6,24,27,45
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,2,0,0,2,0,0,0,0,2,0,3,1,1,1,1,0,1,2,2,6,2,0,2,4,4,2,4,8,8,8,16
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,2,0,1,0,0,2,0,0,0,0,0,2,0,0,0,0,0,3,0,0,0,2,3,0,0,4,5
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,2,0,2,2,0,0,4,0,2,2,4,0,4,2,0,4,0,6,0,6,0,8,0,11,0,11,8,14,0,20,24,40
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,1,0,3,0,0,2,1,2,1,2,1,2,0,0,3,3,1,3,3,6,1,4,10,15
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,1,1,2,0,0,1,0,0,2,0,0,2,0,2,2,4,1,2,4,2,5,1,5,2,6,1,3,2,9,3,10,8,14,4,16,24,40
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,0,2,0,1,1,0,4,0,0,1,0,2,3,2,0,2,0,0,6,3,0,3,6,10,0,4,16,24
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,2,0,0,2,1,2,1,4,0,2,2,0,4,2,5,0,5,0,3,3,9,0,9,9,16,0,15,27,45
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,2,1,0,0,0,1,0,0,2,1,3,2,2,3,2,0,2,4,3,6,6,0,6,7,8,3,8,12,18,18,36
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,1,2,1,0,0,2,0,1,2,2,1,4,2,1,4,0,4,1,6,3,9,0,9,3,12,6,12,6,24,24,45
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,1,1,0,0,1,1,0,1,0,1,3,1,2,2,2,1,3,0,3,1,5,3,3,0,5,3,8,6,9,6,14,16,30
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,2,0,3,1,1,1,1,0,1,2,3,6,2,0,2,5,6,3,6,12,13,13,30
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,2,1,2,3,2,0,2,4,3,3,3,0,6,7,8,3,9,12,18,21,45
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,2,1,0,2,0,2,1,3,3,3,0,3,2,7,3,7,6,14,14,30
