1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1
0,1,1,1,1,1,2,1,1,2,2,1,2,2,3,3,4,5
0,0,1,0,0,1,1,1,1,2,1,0,2,2,2,3,3,4
0,0,0,1,0,1,2,1,2,1,3,1,3,3,5,4,7,10
0,0,0,0,1,0,1,0,0,1,1,2,1,1,3,3,6,10
0,0,0,0,0,1,1,1,1,2,2,1,3,3,5,6,9,15
0,0,0,0,0,0,1,0,1,0,2,1,3,3,6,5,11,20
0,0,0,0,0,0,0,1,1,1,1,0,1,2,2,3,3,5
0,0,0,0,0,0,0,0,1,0,1,0,1,2,3,3,5,10
0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,3,3,6
0,0,0,0,0,0,0,0,0,0,1,1,1,1,4,3,9,20
0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,4,10
0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,3,6,15
0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,5
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,10
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
