1,0,1,0,1,1,0,1,0,1,0,1,1,0,0,1,0,1,0,1,1,0,1,0,1,1,0,1,0,0,0,1,0,1,1,0,1,0,1,0,0,1,0,1,0,1,1,1,0,1,0,1,0,1,1,0,1,1,0,1,0,0,0,1,0,1,1,0,1,0,1,1,0,1,0,1,1,1,0,1,0,1,0,1,0,1,1,0,1,0,1,1,1,0,1,0,1,1,1,0,1,1,0,1,1,1,0,1,1,1
0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,1,0,0,1
0,0,1,0,1,1,0,1,0,1,0,2,1,0,0,1,0,2,0,1,1,0,2,0,2,2,0,1,0,0,0,2,0,2,1,0,2,0,2,0,0,2,0,2,0,3,2,2,0,3,0,2,0,2,2,0,3,3,0,2,0,0,0,3,0,2,3,0,3,0,3,2,0,3,0,3,3,3,0,3,0,4,0,3,0,4,3,0,4,0,4,4,3,0,4,0,4,4,4,0,5,5,0,5,5,5,0,6,6,7
0,0,0,1,0,0,1,0,0,0,1,0,1,0,1,0,2,0,1,0,0,1,0,2,0,0,0,0,1,0,1,0,0,0,0,1,1,1,0,0,1,0,1,0,2,0,1,0,3,0,2,0,0,0,0,2,0,3,1,0,2,0,1,0,0,0,0,2,0,0,0,1,1,0,2,0,3,0,2,1,3,0,0,0,4,0,1,3,0,3,1,0,1,0,0,3,1,1,1,4,0,5,4,1,0,1,5,1,1,7
0,0,0,0,1,0,0,1,0,1,0,1,1,0,0,1,0,2,0,1,1,0,2,0,2,1,0,1,0,1,0,2,0,2,1,1,2,0,2,0,0,2,0,2,0,3,2,2,0,4,0,3,0,3,2,0,4,4,0,3,0,1,0,4,0,3,3,0,4,0,4,3,0,4,0,5,5,4,1,5,0,6,0,5,0,7,5,0,7,1,7,6,6,0,7,1,8,7,8,0,10,11,1,11,10,11,1,15,15,21
0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,1,1,0,1,0,1,2,0,1,0,0,0,1,0,2,1,0,1,0,1,0,0,2,0,1,0,2,2,2,0,2,0,1,0,2,2,0,2,2,0,2,0,0,0,2,0,2,3,0,2,0,3,2,0,3,0,2,2,3,0,2,0,3,0,3,0,3,3,0,3,0,3,4,3,0,4,0,3,4,4,0,4,4,0,4,5,5,0,5,6,6
0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,2,0,0,0,0,1,0,1,0,0,0,1,1,2,1,0,0,1,0,1,1,1,0,2,0,3,0,2,1,0,0,1,2,0,4,1,1,2,0,2,1,0,1,0,2,1,0,0,2,2,1,3,1,5,1,3,3,3,0,0,1,6,1,3,4,1,4,4,0,3,0,1,5,4,4,4,6,1,11,7,5,1,5,10,6,6,21
0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,1,1,0,1,0,2,0,0,1,0,0,0,2,0,1,1,1,2,0,2,0,0,2,1,2,0,1,2,2,0,3,1,3,0,2,2,0,3,4,0,3,1,1,0,4,0,3,1,1,4,0,3,4,0,4,1,5,7,4,2,6,0,4,0,5,1,7,6,1,7,3,8,4,7,0,7,3,10,8,10,1,10,15,4,14,10,14,5,20,20,35
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,1,1,1,1,0,1,0,1,0,0,1,0,1,0,1,1,2,0,1,0,1,1,2,2,0,2,1,0,2,0,0,0,2,1,2,3,0,2,1,3,2,0,3,0,3,2,4,0,3,0,3,1,4,0,3,4,0,4,0,4,6,5,1,6,0,5,6,7,0,6,6,0,7,10,10,0,10,14,14
0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,1,1,0,2,0,1,2,0,1,0,0,0,2,0,3,1,0,2,0,2,0,0,3,0,2,0,4,3,3,0,4,0,2,0,4,3,0,5,4,0,4,0,0,0,5,0,4,6,0,5,0,7,4,0,7,0,6,5,7,0,6,0,9,0,8,0,9,8,0,10,0,10,12,9,0,13,0,11,13,14,0,16,16,0,17,20,21,0,25,30,35
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,2,0,0,0,2,0,1,0,0,0,0,2,0,2,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,2,0,2,0,3,0,0,0,3,0,0,3,0,3,0,0,0,0,0,3,0,0,0,4,0,4,4,0,0,0,5,0,0,6
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,1,0,1,0,3,1,1,0,3,0,1,0,1,1,0,3,3,0,1,0,0,0,3,0,1,3,0,3,0,3,1,0,3,0,3,3,3,0,3,0,6,0,3,0,6,3,0,6,0,6,6,3,0,6,0,6,6,6,0,10,10,0,10,10,10,0,15,15,21
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,1,0,0,1,0,0,1,1,2,1,1,0,0,1,1,2,0,0,2,1,1,1,2,2,0,1,2,1,1,4,1,2,2,0,1,3,0,2,0,2,3,0,1,3,1,3,2,3,7,3,3,5,1,1,0,3,4,4,5,3,4,4,7,1,6,0,4,5,8,7,8,4,5,15,7,11,5,11,10,15,15,35
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,2,0,0,0,1,1,1,1,0,1,0,0,1,0,0,0,1,0,2,1,0,2,2,1,2,0,1,0,2,2,3,0,2,0,1,1,3,0,1,3,0,3,0,3,4,4,2,4,0,4,4,6,0,4,4,0,6,9,9,0,9,14,14
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2,0,0,0,1,0,2,0,3,0,1,0,0,0,0,1,0,3,2,0,1,0,2,0,0,0,0,1,0,0,0,2,3,0,1,0,3,0,1,2,3,0,0,0,6,0,3,3,0,3,3,0,3,0,0,3,3,4,4,6,0,10,6,4,0,5,10,5,6,21
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,1,0,1,0,0,1,0,0,0,2,0,2,1,0,2,0,2,0,0,3,0,2,0,2,3,3,0,4,0,3,0,4,3,0,5,4,0,5,0,1,0,6,0,5,3,0,6,0,7,6,0,8,0,8,8,8,1,9,0,9,0,11,0,12,12,0,14,2,15,12,15,0,18,2,19,19,24,0,24,28,3,31,30,38,4,50,60,84
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,1,1,1,0,0,1,0,1,0,2,0,1,0,4,0,2,0,0,0,0,3,0,4,1,0,3,0,2,0,0,0,0,3,0,0,0,1,2,0,4,0,5,0,4,2,6,0,0,0,9,0,2,7,0,7,3,0,2,0,0,8,3,3,3,12,0,16,13,4,0,4,20,5,5,35
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,1,0,1,1,0,1,0,0,1,0,1,0,2,1,1,0,4,0,2,0,2,1,0,4,4,0,2,0,2,0,4,0,2,2,0,4,0,4,2,0,4,0,6,6,4,2,6,0,8,0,6,0,11,6,0,11,3,11,8,8,0,11,3,14,11,14,0,20,24,4,24,20,24,5,40,40,70
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,2,0,0,0,1,0,0,1,0,0,3,0,2,0,1,1,0,0,2,1,0,4,2,2,1,0,3,2,0,2,0,1,2,0,0,4,4,3,2,2,6,3,2,6,2,0,0,3,8,3,8,4,3,4,10,0,9,0,4,6,11,13,14,8,4,24,11,17,5,21,20,25,30,70
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,2,0,1,0,0,2,0,2,0,0,3,2,0,2,1,2,0,2,3,0,2,4,1,4,1,0,1,5,0,4,0,1,5,0,3,6,1,7,1,6,9,7,2,9,0,3,0,8,3,9,12,2,10,4,15,4,15,0,13,5,19,19,24,3,16,31,9,31,20,38,15,50,60,105
