1,1,1,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1
0,1,1,1,1,1,2,1,2,2,0,1,1,2,1,3,2,2,3,1,3,3,4,5,6
0,0,1,0,1,1,2,2,3,3,0,1,3,4,3,6,5,4,7,2,8,8,11,15,20
0,0,0,1,0,0,1,0,1,1,1,1,0,1,0,3,1,1,3,3,3,3,6,10,15
0,0,0,0,1,1,1,1,1,2,0,1,2,3,2,5,4,4,7,3,8,8,13,20,30
0,0,0,0,0,1,0,1,0,1,0,0,1,2,2,2,3,3,4,1,4,5,7,10,15
0,0,0,0,0,0,1,1,2,2,0,2,2,4,2,8,6,4,11,6,14,14,24,40,64
0,0,0,0,0,0,0,1,0,1,0,0,2,3,3,4,6,4,9,3,11,13,21,35,60
0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,2,2,1,3,1,5,5,8,14,24
0,0,0,0,0,0,0,0,0,1,0,1,1,2,1,5,4,3,9,6,12,12,24,45,81
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,3,1,1,4,10,20
0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,3,2,1,6,6,9,9,21,45,90
0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,3,2,6,3,9,10,20,40,80
0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3,2,5,2,6,9,16,30,60
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,1,2,3,5,10
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,3,3,6,6,15,36,81
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,3,5,11,25,60
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,4,10,24
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,8,24,64
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,5,15
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,10,30
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,5,15
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,20
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
