N = 3
M = 4

set of gaps {1, 2, 5}

Ngen                sum     dim     Gen - 0        Jordan
[16, 13, 18, 19]    9       2       [16, 19]       [1, 1, 2]      
[20, 17, 14, 15]    9       2       [15, 17]       [1, 1, 2]      
[12, 17, 18, 19]    9       3       [18, 19]       [1, 1, 2]      
[16, 21, 14, 15]    9       3       [15, 16]       [1, 1, 2]      
[20, 13, 18, 15]    9       3       [15]           [2, 2]         
[12, 17, 22, 15]    9       4       [15]           [1, 3]         
[20, 13, 14, 19]    9       4       [14, 20]       [1, 1, 2]      
[20, 21, 10, 15]    9       4       [20]           [1, 3]         
[12, 13, 18, 23]    9       5       [13]           [1, 3]         
[24, 9, 14, 19]     9       5       []             [4]            
[16, 17, 18, 19]    10      0       [17, 18, 19]   [1, 1, 1, 1]   
[20, 17, 18, 15]    10      1       [17, 18]       [1, 1, 2]      
[16, 21, 18, 15]    10      2       [16, 18]       [1, 1, 2]      
[20, 17, 14, 19]    10      2       [17, 20]       [1, 1, 2]      
[16, 17, 22, 15]    10      3       [16, 17]       [1, 1, 2]      
[16, 21, 14, 19]    10      3       [16]           [2, 2]         
[20, 13, 18, 19]    10      3       [19, 20]       [1, 1, 2]      
[12, 17, 22, 19]    10      4       [19]           [1, 3]         
[16, 13, 18, 23]    10      4       [16]           [1, 3]         
[20, 21, 14, 15]    10      4       [15, 20]       [1, 1, 2]      
[12, 17, 18, 23]    10      5       [18]           [2, 2]         
[20, 25, 10, 15]    10      5       []             [4]            
[24, 13, 14, 19]    10      5       [14]           [1, 3]         
[20, 17, 18, 19]    11      0       [18, 19, 20]   [1, 1, 1, 1]   
[16, 21, 18, 19]    11      1       [18, 19]       [1, 1, 2]      
[16, 17, 22, 19]    11      2       [17, 19]       [1, 1, 2]      
[20, 21, 18, 15]    11      2       [18, 20]       [1, 1, 2]      
[16, 17, 18, 23]    11      3       [17, 18]       [1, 1, 2]      
[20, 17, 22, 15]    11      3       [17]           [2, 2]         
[20, 21, 14, 19]    11      3       [20, 20]       [1, 1, 2]      
[16, 21, 22, 15]    11      4       [16, 20]       [1, 1, 2]      
[20, 13, 18, 23]    11      4       [20]           [1, 3]         
[24, 17, 14, 19]    11      4       [17]           [1, 3]         
[12, 17, 22, 23]    11      5       [20]           [1, 3]         
[20, 25, 14, 15]    11      5       [15]           [1, 3]         
[24, 13, 18, 19]    11      5       [19]           [2, 2]         
[20, 21, 18, 19]    12      0       [19, 20, 20]   [1, 1, 1, 1]   
[20, 17, 22, 19]    12      1       [19, 20]       [1, 1, 2]      
[16, 21, 22, 19]    12      2       [19, 20]       [1, 1, 2]      
[20, 17, 18, 23]    12      2       [18, 20]       [1, 1, 2]      
[16, 21, 18, 23]    12      3       [18]           [2, 2]         
[20, 21, 22, 15]    12      3       [20, 20]       [1, 1, 2]      
[24, 17, 18, 19]    12      3       [18, 19]       [1, 1, 2]      
[16, 17, 22, 23]    12      4       [17, 20]       [1, 1, 2]      
[20, 25, 18, 15]    12      4       [18]           [1, 3]         
[24, 21, 14, 19]    12      4       [20]           [1, 3]         
[16, 21, 26, 15]    12      5       [16]           [1, 3]         
[20, 25, 14, 19]    12      5       [20]           [2, 2]         
[24, 13, 18, 23]    12      5       [20]           [1, 3]         
[12, 17, 22, 27]    12      6       []             [4]            


