Coefficients of X_phi on Y_psi for C5

        |(10) 82(11) 82 64(11) 64 811 55 622(11) 622 6211(11)  6211 442(11) 442 4411(11)  4411 433 4222(11)  4222 61111 3322(11)  3322 42211(11)  42211  33211 421111(11)     421111     331111      22222 222211(11)      222211         4111111         2221111      22111111(11)             22111111                  211111111                             1111111111
___________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________
X5.     |   1      0  1      0  1   1  1       0   1        0     1       0   1        0     1   1        0     1     1        0     1         0      1      1          0          1          1          1          0           1               1               1                 0                    1                          1                                      1
X.5     |   0      1  0      1  0   0  1       0   0        x     0       0   0        x     0   0        x     0     0        x     0         0      0      0        x^2          0        x^2          0        x^2           0               0               0               x^3                    0                          0                                    x^4
X4.1    |   0      0  1      0  1   1  1       0   1        0 x^2+1       0   1        0 x^2+1   1        0 x^2+1 x^2+1        0 x^2+1         0  x^2+1  x^2+1          0  x^4+x^2+1  x^4+x^2+1      x^2+1          0   x^4+x^2+1       x^4+x^2+1       x^4+x^2+1                 0        x^6+x^4+x^2+1              x^6+x^4+x^2+1                      x^8+x^6+x^4+x^2+1
X1.4    |   0      0  0      1  0   0  1       0   0        x     0       x   0       2x     0   0        x     0     0        x   x^2         0      0    x^2    x^4+x^2          0   x^4+2x^2        x^2    x^4+x^2         x^2               0             x^2       x^7+x^5+x^3                  x^2                        x^2                   x^10+x^8+x^6+x^4+x^2
X3.2    |   0      0  0      0  1   0  1       0   1        0     1       0   1        0 x^2+1   1        0 x^2+1     1      x^3 x^2+1         0  x^2+1  x^2+1          0  x^4+x^2+1 2x^4+x^2+1  x^4+x^2+1        x^4  2x^4+x^2+1       x^4+x^2+1      2x^4+x^2+1               x^5   x^8+x^6+2x^4+x^2+1         x^8+x^6+2x^4+x^2+1         x^12+x^10+2x^8+2x^6+2x^4+x^2+1
X41.    |   0      0  0      0  0   1  0       0   1        0     1       0   1        0     1   1        0     1 x^2+1        0     1         0  x^2+1  x^2+1          0      x^2+1      x^2+1      x^2+1          0       x^2+1       x^4+x^2+1       x^4+x^2+1                 0            x^4+x^2+1              x^6+x^4+x^2+1                          x^6+x^4+x^2+1
X2.3    |   0      0  0      0  0   0  1       0   0        0     0       0   1        x     1   1        x     1     0        x x^2+1         0      1  x^2+1        x^2          1 x^4+2x^2+1      x^2+1    x^4+x^2   x^4+x^2+1               1       x^4+x^2+1       x^7+x^5+x^3        x^6+x^4+x^2+1              x^6+x^4+x^2+1         x^12+x^10+2x^8+2x^6+2x^4+x^2+1
X32.    |   0      0  0      0  0   0  0       1   0        0     0       0   0        0     0   x        0     x     x        0     x       x^2      x      x          0          x          x      x^3+x          0       x^3+x       x^5+x^3+x       x^5+x^3+x                 0            x^5+x^3+x          x^9+x^7+x^5+x^3+x                      x^9+x^7+x^5+x^3+x
X31.1   |   0      0  0      0  0   0  0       0   1        0     1       0   1        0     1   1        0 x^2+1 x^2+1        0 x^2+1         0 2x^2+1 2x^2+1          0 x^4+2x^2+1 x^4+2x^2+1 x^4+2x^2+1          0 2x^4+2x^2+1 x^6+2x^4+2x^2+1 x^6+3x^4+2x^2+1                 0 x^8+2x^6+3x^4+2x^2+1 x^10+2x^8+3x^6+3x^4+2x^2+1       x^12+2x^10+3x^8+3x^6+3x^4+2x^2+1
